,Z,Z_norm,Z_NH3,phi,yp,yp_src,dyp_dx,H_ele,strain,T,P,K,H2,NH3,NO,N2O,O2,H,O,OH,HO2,H2O,H2O2,NO2,HNO,N,NNH,NH2,NH,H2NO,N2
0,0.090225205,0.090225205,0.084971027,0.6,4.06E-15,6.28E-14,4.41E-11,0.016020258,-9.27E-07,750,101325,10.6504344,0.006865825,0.05155726,-4.26E-17,1.02E-16,0.211894936,8.36E-16,-1.11E-14,1.24E-18,8.89E-14,4.06E-15,-4.70E-16,1.26E-14,-4.70E-16,-2.88E-15,1.18E-18,-1.92E-16,8.24E-16,1.08E-16,0.729681979
1,0.090225203,0.090225205,0.084971025,0.6,4.45E-13,7.60E-13,2.82E-09,0.016020258,-4.45E-05,750,101325,10.6504344,0.006865824,0.05155726,-6.03E-15,1.28E-16,0.211894936,9.86E-17,1.26E-16,1.50E-17,1.01E-11,4.45E-13,4.52E-14,1.27E-14,1.12E-15,-2.17E-18,7.79E-23,3.41E-15,1.20E-17,1.08E-16,0.729681979
2,0.090225028,0.090225205,0.084970906,0.6,3.92E-11,8.29E-13,2.97E-07,0.016020223,-0.001747335,750.0000003,101325,10.6504344,0.006865789,0.051557263,3.64E-14,7.98E-15,0.211894945,1.01E-16,1.47E-16,1.64E-17,2.44E-11,3.92E-11,2.09E-13,2.08E-14,1.39E-14,-1.78E-22,8.02E-23,3.68E-15,1.54E-19,1.52E-16,0.729682003
3,0.090222208,0.090225205,0.084968978,0.6,1.71E-09,8.51E-13,1.24E-05,0.016019657,-0.027577604,750.0000131,101325,10.6504344,0.006865214,0.051557309,2.36E-12,5.44E-13,0.211895082,1.03E-16,1.51E-16,1.68E-17,4.86E-11,1.71E-09,1.03E-12,5.25E-13,6.99E-13,7.62E-23,8.16E-23,3.76E-15,4.90E-19,2.28E-15,0.729682392
4,0.090207302,0.090225205,0.084958773,0.6,2.50E-08,1.57E-12,0.000223023,0.016016667,-0.196111636,750.0001909,101325,10.6504344,0.00686218,0.051557545,4.28E-11,1.22E-11,0.21189581,1.75E-16,2.84E-16,3.09E-17,3.68E-10,2.50E-08,1.32E-11,1.05E-11,1.25E-11,6.91E-21,1.42E-22,1.43E-14,1.98E-16,3.93E-14,0.729684439
5,0.09013583,0.090225205,0.084909652,0.6,3.04E-07,6.78E-11,0.002873248,0.016002348,-1.018589952,750.0023213,101325,10.6504344,0.006847647,0.051558576,6.47E-10,2.28E-10,0.211899281,6.76E-15,1.33E-14,1.34E-15,5.03E-09,3.04E-07,1.89E-10,1.77E-10,1.87E-10,3.19E-21,5.38E-21,1.40E-12,2.38E-14,5.89E-13,0.729694186
6,0.089849771,0.090225205,0.084711359,0.6,3.00E-06,5.01E-09,0.022376203,0.015945191,-3.340439037,750.0229164,101325,10.6504344,0.006789616,0.051561789,7.88E-09,3.41E-09,0.211912939,4.90E-13,9.61E-13,9.89E-14,5.96E-08,3.00E-06,2.24E-09,2.42E-09,2.24E-09,8.02E-20,4.08E-19,1.08E-10,1.57E-12,7.14E-12,0.729732581
7,0.089517936,0.090225205,0.084477401,0.6,9.99E-06,8.13E-08,0.098251031,0.015879242,-6.695259899,750.076459,101325,10.6504344,0.006722601,0.051563351,3.09E-08,1.58E-08,0.211928044,7.99E-12,1.54E-11,1.61E-12,2.24E-07,9.99E-06,8.60E-09,1.04E-08,8.66E-09,6.50E-17,7.63E-18,1.75E-09,2.21E-11,2.79E-11,0.729775714
8,0.088774356,0.090225205,0.083938808,0.6,4.07E-05,9.65E-07,0.347795994,0.015732755,-10.34100852,750.3124155,101325,10.6504344,0.006573473,0.051558708,1.53E-07,9.46E-08,0.211958276,8.52E-11,1.65E-10,1.91E-11,1.02E-06,4.07E-05,4.14E-08,5.64E-08,4.18E-08,5.80E-15,1.38E-16,1.91E-08,2.18E-10,1.37E-10,0.729867418
9,0.088056522,0.090225205,0.083396955,0.6,9.50E-05,5.16E-06,0.935341358,0.015593316,-10.6504344,750.7322004,101325,10.6504344,0.006430997,0.051541225,4.10E-07,2.92E-07,0.211980336,4.00E-10,7.86E-10,1.01E-10,2.47E-06,9.50E-05,1.07E-07,1.59E-07,1.09E-07,1.17E-13,1.21E-15,9.02E-08,9.58E-10,3.64E-10,0.729948764
10,0.086894564,0.090225205,0.082472526,0.6,0.000241184,2.90E-05,2.116863731,0.015371872,-3.270043581,751.8702812,101325,10.6504344,0.006203326,0.051483205,1.23E-06,1.01E-06,0.211996201,1.68E-09,3.47E-09,5.63E-10,6.28E-06,0.000241184,3.01E-07,4.97E-07,3.15E-07,1.75E-12,1.29E-14,3.93E-07,3.99E-09,1.07E-09,0.730066047
